product_id,url,name,brand,price,image_route,top_notes,middle_notes,base_notes,accords,description
9970,https://www.bysuco.com/product/show/9970,테싯 오 드 퍼퓸,이솝,199000.0,https://cf.bysuco.net/fb3db1f776b96fd2bd74015405501147.jpg?w=600,"유자, 바질","로즈마리, 민트","베티버, 시더우드","시트러스, 우디, 그린, 내추럴","햇살 머금은 유자의 상큼함과 허브의 그린함이 어우러져, 베티버와 우디 노트로 차분하게 마무리되는 맑고 지적인 시트러스 우디 향"
10518,https://www.bysuco.com/product/show/10518,엔젤스 쉐어 오 드 퍼퓸,킬리안,420000.0,https://cf.bysuco.net/ba0350b6a30a44ffaef857f7b8c43692.jpg?w=600,코냑,"시나몬, 오크","바닐라, 통카빈, 프랄린","구르망, 우디, 스파이시, 웜","숙성된 코냑의 달콤한 열기가 시나몬과 오크우드의 깊은 스파이스로 번지며, 바닐라와 통카빈이 농밀하게 감싸는 관능적이고 풍부한 구르망 우디 향"
9879,https://www.bysuco.com/product/show/9879,네롤리 포르토피노 오 드 퍼퓸,톰 포드,260000.0,https://cf.bysuco.net/0a9b45d2077f0bff179a113c5810431e_cvt.webp?w=600,"베르가못, 만다린, 레몬","네롤리, 오렌지 블로썸, 라벤더","앰버, 머스크","시트러스, 아로마틱, 프레시, 썸머","지중해 해안의 햇살을 닮은 네롤리와 시트러스가 시원하게 터지며, 오렌지 블로썸과 아로마틱 허브가 어우러져 바닷바람처럼 깨끗하고 세련되게 이어지는 청량한 시트러스 아로마틱 향"
21122,https://www.bysuco.com/product/show/21122,뮤스크 라바줴 오 드 퍼퓸,프레데릭 말,350000.0,https://cf.bysuco.net/e2b992ccbb62085043e340925e41cc6a_cvt.webp?w=600,"라벤더, 베르가못","바닐라, 시나몬","머스크, 샌달우드, 통카빈","머스크, 앰버, 스위트, 소프트","크리미한 바닐라와 라벤더의 포근한 숨결이 머스크와 어우러져, 피부에 밀착되듯 따뜻하고 관능적으로 이어지는 부드러운 앰버 머스크 향"
10524,https://www.bysuco.com/product/show/10524,굿걸 곤 배드 오 드 퍼퓸,킬리안,450000.0,https://cf.bysuco.net/848652e771511a89a9d551e20e367c91_cvt.webp?w=600,"오스만투스, 자스민","튜베로즈, 나르시스, 로즈","앰버, 시더우드, 바닐라","플로럴, 화이트 플로럴, 스위트, 관능적인","순백의 오스만투스와 튜베로즈가 화사하게 피어오르며, 자스민과 나르시스의 농밀함이 더해져 바닐라와 앰버로 관능적으로 번져가는 대담하고 매혹적인 화이트 플로럴 향"
9306,https://www.bysuco.com/product/show/9306,모하비 고스트 오 드 퍼퓸,바이레도,280000.0,https://cf.bysuco.net/3cbee70008c73664e377031b5c52e997.jpg?w=600,"암브레트, 사포딜라","바이올렛, 샌달우드","머스크, 앰버","플로럴, 우디, 머스크, 드라이","사막의 고요한 공기를 닮은 암브레트와 바이올렛이 투명하게 퍼지며, 머스크와 우디 노트가 잔잔하게 이어지는 은은하고 몽환적인 플로럴 우디 향"
32956,https://www.bysuco.com/product/show/32956,재즈 클럽 오 드 뚜왈렛,메종 마르지엘라,110000.0,https://cf.bysuco.net/fac2df3a33f28b8d590d4e115731b850.jpg?w=600,"핑크 페퍼, 네롤리, 레몬","럼, 세이지, 베티버","타바코, 바닐라, 스티락스","우디, 스모키, 스파이시, 웜","어두운 재즈 바의 공기를 닮은 럼과 담배 잎의 깊은 향이 퍼지며, 바닐라와 우디 노트가 따뜻하게 감싸는 묵직하고 무드 있는 스모키 우디 향"
9274,https://www.bysuco.com/product/show/9274,피코 디 아말피 오 드 뚜왈렛,아쿠아 디 파르마,135000.0,https://cf.bysuco.net/f84ad03c8884707b8fa6cbcc486fa4aa.jpg?w=600,"베르가못, 레몬, 자몽","핑크 페퍼, 자스민","머스크, 시더우드","시트러스, 아로마틱, 프레시, 썸머","햇살이 가득한 아말피 해안의 공기를 닮은 베르가못과 자몽의 상큼함이 시원하게 퍼지며, 아로마틱 허브와 머스크가 깨끗하게 이어지는 밝고 청량한 시트러스 아로마틱 향"
9353,https://www.bysuco.com/product/show/9353,블랑쉬 오 드 퍼퓸,바이레도,280000.0,https://cf.bysuco.net/ae913c3a0653de6ebd1927c6a9a9c865.jpg?w=600,"알데하이드, 로즈","피오니, 바이올렛","머스크, 샌달우드","플로럴, 머스크, 클린, 미니멀","막 세탁한 린넨처럼 깨끗한 플로럴 비누 향이 피부에 부드럽게 밀착되며, 머스크와 우디 노트가 잔향으로 잔잔하게 이어지는 투명하고 순수한 플로럴 머스크 향"
21314,https://www.bysuco.com/product/show/21314,오 데 썽 오 드 뚜왈렛,딥티크,198000.0,https://cf.bysuco.net/1feebb4d88474e51759d4f8f4e71b603.jpg?w=600,"비터 오렌지, 오렌지 블로썸","주니퍼 베리, 안젤리카",파출리,"시트러스, 아로마틱, 그린, 프레시","쓴 오렌지의 쌉싸름한 시트러스가 상쾌하게 터지며 주니퍼 베리와 허브의 드라이함이 이어지고, 파출리가 차분하게 정돈해 주는 생기 있고 개성적인 아로마틱 시트러스 향"
9971,https://www.bysuco.com/product/show/9971,휠 오 드 퍼퓸,이솝,199000.0,https://cf.bysuco.net/e0ca52e42b76ec856d659e552e564dd9.jpg?w=600,"만다린, 베르가못","세이지, 블랙 페퍼","베티버, 시더우드, 앰버","시트러스, 우디, 스파이시, 내추럴","시트러스의 상큼함이 투명하게 시작되어 세이지와 블랙 페퍼의 은은한 허브 스파이스와 조화되며, 베티버와 앰버가 차분하게 마무리되는 깔끔하고 균형 잡힌 시트러스 우디 향"
9352,https://www.bysuco.com/product/show/9352,발 다프리크 오 드 퍼퓸,바이레도,280000.0,https://cf.bysuco.net/cc3ee70e8aca52f6f13a17305f97ddef.jpg?w=600,"베르가못, 네롤리, 레몬","자스민, 바이올렛, 사이클라멘","머스크, 앰버, 베티버","플로럴, 우디, 웜, 이국적인","따뜻한 아프리카 햇살을 머금은 베르가못과 네롤리가 밝게 펼쳐지며, 자스민과 바이올렛이 부드럽게 어우러져 머스크와 앰버로 포근하게 마무리되는 세련되고 이국적인 플로럴 우디 향"
9275,https://www.bysuco.com/product/show/9275,미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,135000.0,https://cf.bysuco.net/b355f57f27edf0e3179af4ff93126ad2.jpg?w=600,"베르가못, 레몬, 미르토","로즈마리, 자스민","시더우드, 머스크","시트러스, 아로마틱, 프레시, 썸머","햇살 가득한 지중해 섬의 공기를 닮은 미르토와 시트러스의 상쾌함이 터지듯 펼쳐지며, 아로마틱 허브와 우디 노트가 산뜻하고 청량하게 마무리되는 밝고 자유로운 아로마틱 시트러스 향"
22799,https://www.bysuco.com/product/show/22799,러브 돈 비 샤이 오 드 퍼퓸,킬리안,450000.0,https://cf.bysuco.net/e7eb9412ae34254a8159d86e0a0bd6bc.jpg?w=600,"네롤리, 베르가못","오렌지 블로썸, 로즈","마시멜로, 바닐라, 머스크","플로럴, 스위트, 구르망, 로맨틱","마시멜로처럼 달콤한 바닐라와 오렌지 블로썸이 부드럽게 퍼지며, 네롤리와 머스크가 포근하게 감싸 안아 사랑스러움이 오래 남는 로맨틱한 스위트 플로럴 향"
9239,https://www.bysuco.com/product/show/9239,운 자르뎅 수 르 닐 오 드 뚜왈렛,에르메스,112000.0,https://cf.bysuco.net/b3fcfd786598d639a1898ae3fc949eb7.jpg?w=600,"그린 망고, 자몽","연꽃, 시카모어","인센스, 머스크","그린, 아쿠아틱, 프레시, 내추럴","나일 강변의 정원을 거니는 듯 그린 망고와 연꽃의 투명한 수분감이 퍼지며, 인센스와 시카모어가 차분하게 이어지는 맑고 생기 있는 그린 아쿠아틱 향"
3406965,https://www.bysuco.com/product/show/3406965,플레르 드 뽀 오 드 뚜왈렛,딥티크,198000.0,https://cf.bysuco.net/c10d9eed4f7606a8d6fe38fec6ea6c9b.jpg?w=600,"핑크 페퍼, 만다린","매그놀리아, 아이리스","머스크, 암브레","머스크, 플로랄, 파우더리",파우더리한 아이리스의 우아함이 매그놀리아와 머스크의 부드러움과 어우러져 수순한 숨결처럼 빛나는 플로럴 향기를 드러냅니다.
10737,https://www.bysuco.com/product/show/10737,화이트 스웨이드 오 드 퍼퓸,톰 포드,260000.0,https://cf.bysuco.net/9a43c99fee1199eed7307f6b6a655f52.jpg?w=600,"로즈, 사프란","스웨이드, 자스민","머스크, 앰버, 샌달우드","레더, 머스크, 플로럴, 소프트","부드러운 스웨이드 가죽의 결을 닮은 머스크와 로즈가 은은하게 스며들며, 앰버와 샌달우드가 차분한 온기로 감싸는 깨끗하고 관능적인 레더 머스크 향"
9871,https://www.bysuco.com/product/show/9871,블랙 오키드 오 드 퍼퓸,톰 포드,167000.0,https://cf.bysuco.net/61ccae6b4ac4309571da6f3f510f6c0c.jpg?w=600,"블랙 트러플, 일랑일랑, 베르가못","블랙 오키드, 스파이스, 프루티 노트","파출리, 인센스, 앰버, 바닐라","오리엔탈, 플로럴, 스파이시, 인텐스","블랙 트러플과 다크 초콜릿의 농밀한 어둠이 퍼지며, 오키드와 스파이스가 관능적으로 겹쳐져 파출리와 앰버로 깊고 화려하게 마무리되는 강렬한 오리엔탈 플로럴 향"
22166,https://www.bysuco.com/product/show/22166,버진 아일랜드 워터 오 드 퍼퓸,크리드,410000.0,https://cf.bysuco.net/eb14d0c0c2af3ea46a2e85487bde9e05.jpg?w=600,"라임, 베르가못, 만다린","코코넛, 화이트 럼, 히비스커스","사탕수수, 머스크","시트러스, 트로피컬, 프레시, 썸머","코코넛과 라임의 청량한 시트러스가 파도처럼 터지며, 화이트 럼과 사탕수수의 달콤함이 어우러져 햇살 가득한 섬의 여유로 남는 이국적이고 상쾌한 트로피컬 시트러스 향"
10726,https://www.bysuco.com/product/show/10726,로스트 체리 오 드 퍼퓸,톰 포드,360000.0,https://cf.bysuco.net/9bc40bb8ef44195953594e90f1cedf95.jpg?w=600,"비터 오렌지, 블랙 체리, 체리 리큐르","사워 체리, 플럼, 터키쉬 로즈, 자스민 삼박","통카 빈, 바닐라, 시나몬, 페루 발삼, 벤조인, 샌달우드, 클로브, 시더, 페출리, 베티버","스위트, 아몬드, 체리",체리의 달콤함이 독특한 관능미를 연출한다
9354,https://www.bysuco.com/product/show/9354,라 튤립 오 드 퍼퓸,바이레도,280000.0,https://cf.bysuco.net/8662e3fb0edb261ba029965062f40e92.jpg?w=600,"루바브, 시클라멘, 프리지아",튤립,"베티버, 우디 노트","플로럴, 그린, 프레시, 내추럴","이슬 맺힌 튤립 꽃잎이 막 피어나는 순간처럼 그린 플로럴의 맑은 향이 퍼지며, 프리지아와 베티버가 투명하게 이어지는 싱그럽고 생기 있는 플로럴 향"
10234,https://www.bysuco.com/product/show/10234,베티버 엑스트라오디네르 오 드 퍼퓸,프레데릭 말,370000.0,https://cf.bysuco.net/c573d5040a35ad4ace857bc11adaad1d_cvt.webp?w=600,"베르가못, 핑크 페퍼",하이티 베티버,"오크모스, 시더우드, 샌달우드","우디, 베티버, 드라이, 클래식","상쾌한 베르가못의 시트러스가 열리며 하이티 베티버의 드라이한 흙 내음이 또렷하게 드러나고, 오크모스와 시더우드가 깊이를 더해 깔끔하고 지적인 우디 베티버 향"
23913,https://www.bysuco.com/product/show/23913,미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,275000.0,https://cf.bysuco.net/cd28673bbb68bc9088020d09ca6e185e.jpg?w=600,"베르가못, 레몬, 미르토","로즈마리, 자스민","시더우드, 머스크","시트러스, 아로마틱, 프레시, 썸머","지중해의 햇살과 바닷바람을 닮은 미르토와 시트러스가 경쾌하게 터지며, 아로마틱 허브와 머스크가 산뜻하게 이어지는 밝고 자유로운 아로마틱 시트러스 향"
31029,https://www.bysuco.com/product/show/31029,프리베 베티베 디베 오 드 뚜왈렛,조르지오 아르마니,230000.0,https://cf.bysuco.net/5af446aa91be9f0df8bd98d5a734105b.jpg?w=600,"베르가못, 레몬, 만다린 오렌지","핑크 페퍼, 카다멈, 코리안더","베티버, 페출리","시트러스, 아로마틱, 우디",끝없이 펼쳐진 눈 덮인 들판에서 마주친 겨울날의 오아시스
9351,https://www.bysuco.com/product/show/9351,집시 워터 오 드 퍼퓸,바이레도,280000.0,https://cf.bysuco.net/51b6170999bcea3cc079ed4e72d08a5e.jpg?w=600,"베르가못, 레몬, 주니퍼 베리","인센스, 소나무 니들, 오리스","바닐라, 샌달우드, 앰버","우디, 아로마틱, 스모키, 드라이","소나무 숲을 스치는 차가운 공기처럼 주니퍼와 시트러스가 맑게 열리며, 인센스와 바닐라가 은은하게 번져 자유롭고 보헤미안적인 무드로 이어지는 드라이한 우디 아로마틱 향"
23910,https://www.bysuco.com/product/show/23910,피코 디 아말피 오 드 뚜왈렛,아쿠아 디 파르마,205000.0,https://cf.bysuco.net/7e0a3715727687cc4f76f17017733c03.jpg?w=600,"베르가못, 레몬, 자몽","핑크 페퍼, 자스민","머스크, 시더우드","시트러스, 아로마틱, 프레시, 썸머","아말피 해안의 햇살을 머금은 베르가못과 자몽이 시원하게 터지며, 아로마틱 허브와 머스크가 어우러져 밝고 경쾌하게 이어지는 청량한 시트러스 아로마틱 향"
22168,https://www.bysuco.com/product/show/22168,오리지널 베티버 오 드 퍼퓸,크리드,410000.0,https://cf.bysuco.net/2e222b79a5b9de23b95562ee2b1b3136.jpg?w=600,"베르가못, 만다린, 핑크 페퍼","베티버, 코리앤더","머스크, 샌달우드, 앰버","베티버, 시트러스, 아로마틱, 프레시","상큼한 시트러스와 허브의 맑은 공기가 열리며, 베티버의 드라이한 흙 내음과 머스크가 겹쳐져 깨끗하고 세련되게 이어지는 클래식한 프레시 베티버 향"
9308,https://www.bysuco.com/product/show/9308,로즈 오브 노 맨즈 랜드 오 드 퍼퓸,바이레도,280000.0,https://cf.bysuco.net/d159f006a750dba2197f0e21eaad05dd.jpg?w=600,"핑크 페퍼, 터키시 로즈","터키시 로즈, 라즈베리 블로섬","파피루스, 앰버","로즈, 우디, 스파이시, 드라이","차가운 공기 속에서 피어난 로즈의 맑은 결이 핑크 페퍼와 어우러져 투명하게 퍼지며, 파피루스와 앰버가 드라이하게 정돈해 주는 절제되고 현대적인 로즈 우디 향"
10235,https://www.bysuco.com/product/show/10235,엉 빠썽 오 드 퍼퓸,프레데릭 말,350000.0,https://cf.bysuco.net/f8081b7895a4e93e551f567aadac5d46_cvt.webp?w=600,"라일락, 페티그레인","라일락, 그린 노트",머스크,"플로럴, 그린, 소프트, 로맨틱","비 오는 초여름 정원을 스치는 라일락의 투명한 꽃향이 부드럽게 퍼지며, 머스크와 그린 노트가 어우러져 스쳐 지나가듯 섬세하고 로맨틱하게 남는 맑은 플로럴 향"
3405280,https://www.bysuco.com/product/show/3405280,낫 어 퍼퓸 오 드 퍼퓸,줄리엣 헤즈 어 건,169000.0,https://cf.bysuco.net/80f1d99fa1e9cb7f8e9782e5c512f682.jpg?w=600,,,,"머스크, 클린, 미니멀, 스킨센트","갓 샤워한 피부처럼 깨끗한 머스크가 투명하게 스며들며, 다른 향을 덮지 않고 내 살결을 한 톤 정돈해 주는 미니멀한 스킨 머스크 향"
3407966,https://www.bysuco.com/product/show/3407966,엔젤스 쉐어 오 드 퍼퓸,킬리안,129000.0,https://cf.bysuco.net/d02e134bcf0785e5c809bdbd9d1c64b4.jpg?w=600,코냑,"시나몬, 통카 빈, 오크","바닐라, 프랄린, 샌달우드","우디, 웜 스파이시, 스위트",오크통에서 오래 숙성된 코냑을 떠올리며 만든 향
34343,https://www.bysuco.com/product/show/34343,아크네 스튜디오 파 프레데릭 말 오 드 퍼퓸,프레데릭 말,430000.0,https://cf.bysuco.net/d46202eecd024df70413178faf2a383b.jpg?w=600,"알데하이드, 로즈, 바이올렛, 오렌지블라썸, 바닐라, 피치, 샌달우드, 프랑킨센스, 머스크",,,"알데하이드, 바닐라, 프루티",아크네 스튜디오의 머플러의 색감과 텍스쳐를 닮은 포근하고 달콤한 향
18922,https://www.bysuco.com/product/show/18922,제라늄 뿌르 무슈 오 드 퍼퓸,프레데릭 말,350000.0,https://cf.bysuco.net/f828766403db7a901632734ccb37111e_cvt.webp?w=600,"민트, 아니스",제라늄,"샌달우드, 시더우드","아로마틱, 그린, 프레시, 쿨","차가운 민트와 아니스의 산뜻함이 제라늄의 그린함과 겹쳐지며, 우디 노트가 깔끔하게 정돈해 주는 시원하고 절제된 아로마틱 그린 향"
9588,https://www.bysuco.com/product/show/9588,스프링타임 인 어 파크 오 드 뚜왈렛,메종 마르지엘라,110000.0,https://cf.bysuco.net/7f2e3e6bfbce228fe88dcab79e145c4e.webp?w=600,"릴리오브더밸리, 페어, 머스크",,,"화이트 플로랄, 프레쉬, 머스크",섬세하고 부드러운 꽃이 핀 오후의 낭만적인 공원의 활기 가득한 느낌
225382,https://www.bysuco.com/product/show/225382,애플 브랜디 온 더 락스 오 드 퍼퓸,킬리안,420000.0,https://cf.bysuco.net/812b01cabea393ba89393fa4a1fcf7ea.jpg?w=600,"그린 애플, 카다몸","브랜디, 럼","오크우드, 앰버, 머스크","프루티, 우디, 프레시, 쿨","차갑게 식힌 그린 애플과 브랜디의 상큼한 알코올감이 투명하게 터지며, 오크우드와 앰버가 더해져 얼음 위에 따른 칵테일처럼 세련되고 시원하게 이어지는 프루티 우디 향"
10431,https://www.bysuco.com/product/show/10431,리브르 오 드 퍼퓸,입생로랑,140000.0,https://cf.bysuco.net/cf5674423fc14a8c5110a53c7e79d0b3.jpg?w=600,"라벤더, 만다린","오렌지 블로썸, 자스민","바닐라, 앰버, 머스크","플로럴, 앰버, 아로마틱, 모던","프렌치 라벤더의 시원한 허브 향이 선명하게 열리며 오렌지 블로썸의 화사함이 겹쳐지고, 바닐라와 앰버가 대담하고 관능적인 여운으로 남는 모던한 플로럴 앰버 향"
22798,https://www.bysuco.com/product/show/22798,스모킹 핫 오 드 퍼퓸,킬리안,450000.0,https://cf.bysuco.net/0e1ec8e4047df64c6226759864d6db41.jpg?w=600,"애플, 스모크, 시나몬","토바코, 모스","버번 바닐라, 오르카녹스","토바코, 프루티, 바닐라",코냑의 오크 그리고 애플 타바코의 세련된 조화
10460,https://www.bysuco.com/product/show/10460,웬 더 레인 스탑스 오 드 뚜왈렛,메종 마르지엘라,110000.0,https://cf.bysuco.net/77799b915db41a44154753330ead046c.jpg?w=600,"알데하이드, 핑크 페퍼","아쿠아틱 로즈, 파출리","파인 니들, 머스크","아쿠아틱, 우디, 클린, 프레시","비가 그친 직후의 공기처럼 맑은 알데하이드와 핑크 페퍼가 투명하게 퍼지며, 아쿠아틱한 장미와 파출리가 어우러져 젖은 도심의 여운을 차분하게 남기는 클린 아쿠아틱 우디 향"
9893,https://www.bysuco.com/product/show/9893,퍼킹 패뷸러스 오 드 퍼퓸,톰 포드,360000.0,https://cf.bysuco.net/885c575f25b891ec98da96fb43662900_cvt.webp?w=600,"클래리 세이지, 라벤더","레더, 비터 아몬드, 바닐라","통카빈, 앰버, 캐시메란","레더, 앰버, 아로마틱, 인텐스","클래리 세이지와 라벤더의 드라이한 허브 향이 대담하게 열리며, 레더와 아몬드의 크리미한 결이 겹쳐져 토카빈과 앰버로 관능적이고 도발적으로 마무리되는 강렬한 레더 앰버 향"
13997,https://www.bysuco.com/product/show/13997,떼르 데르메스 오 드 뚜왈렛,에르메스,120000.0,https://cf.bysuco.net/4a7b535db2776380e414fb23d11816cc.webp?w=600,"오렌지, 자몽","페퍼, 플린트","베티버, 시더우드, 벤조인","시트러스, 우디, 미네랄, 클래식","쓴 오렌지와 자몽의 드라이한 시트러스가 대지를 스치듯 열리며, 미네랄한 플린트와 베티버가 어우러져 흙 내음의 깊이로 단단하게 마무리되는 클래식하고 남성적인 우디 시트러스 향"
22738,https://www.bysuco.com/product/show/22738,떼르 데르메스 오 지브레 오 드 퍼퓸,에르메스,214000.0,https://cf.bysuco.net/56d9339c549fa38bc77d7a998becf3f6.jpg?w=600,시트러스 노트,미네랄 노트,"베티버, 우디 노트","시트러스, 우디, 미네랄, 쿨","차갑게 서린 얼음 위에 시트러스의 빛이 반짝이듯 퍼지며, 미네랄한 우디 결과 베티버가 만나 맑고 날카로운 긴장감을 남기는 쿨하고 정제된 우디 시트러스 향"
10522,https://www.bysuco.com/product/show/10522,뱀부 하모니 오 드 퍼퓸,킬리안,450000.0,https://cf.bysuco.net/33bcc559ffa91d7d44912963d2f7bc30_cvt.webp?w=600,"베르가못, 비터 오렌지","화이트 티, 뱀부",머스크,"그린, 아로마틱, 프레시, 클린","이슬 머금은 대나무 잎과 시트러스가 투명하게 열리며, 화이트 티의 고요한 그린함이 이어져 머스크로 맑고 차분하게 정돈되는 섬세한 그린 아로마틱 향"
10602,https://www.bysuco.com/product/show/10602,델리나 오 드 퍼퓸,퍼퓸 드 말리,280000.0,https://cf.bysuco.net/c7ac1b88a6274537ac6dc1b6bd8343d2.jpg?w=600,"리치, 루바브, 베르가못, 너트맥","터키시 로즈, 피오니, 머스크, 페출리, 바닐라","캐쉬미란, 인센스, 시더, 헤이티안 베티버","로즈, 플로랄, 프루티",로맨틱함과 모던함을 동시에 표현한 여성스러운 향
22419,https://www.bysuco.com/product/show/22419,프렌치 러버 오 드 퍼퓸,프레데릭 말,350000.0,https://cf.bysuco.net/65ba6d4c1771d1544b7ac593fe89516d.jpg?w=600,"갈바넘, 안젤리카","인센스, 시더우드","베티버, 파출리","그린, 우디, 인센스, 드라이","짙은 갈바넘의 그린한 쌉싸름함이 숲의 공기처럼 퍼지며, 인센스와 시더우드가 깊이를 더해 베티버로 단단하게 마무리되는 차분하고 지적인 그린 우디 향"
225456,https://www.bysuco.com/product/show/225456,상탈 33 오 드 퍼퓸,르 라보,138000.0,https://cf.bysuco.net/2140ce9ceaca16e02efbebd8fd468c38.jpg?w=600,"샌달우드, 레더, 파피루스, 버지니아 시더, 카다멈, 바이올렛, 아이리스, 앰버",,,"우디, 파우더리, 레더","타오르는 모닥불과 스모키하게 날리는 연기, 빛이 사라지고 난 이후에 느껴지는 센슈얼한 무드를 표현한 향"
23911,https://www.bysuco.com/product/show/23911,아란치아 디 카프리 오 드 뚜왈렛,아쿠아 디 파르마,205000.0,https://cf.bysuco.net/a523882a81fc9a798073edb095e3060d.jpg?w=600,"스위트 오렌지, 만다린, 레몬","쁘띠그레인, 카다몸","머스크, 캐러멜","시트러스, 프레시, 브라이트, 썸머","카프리 섬의 햇살을 머금은 스위트 오렌지와 만다린이 밝게 터지며, 레몬의 상큼함과 머스크가 어우러져 경쾌하고 청량하게 남는 생기 넘치는 시트러스 향"
